Communication Skills,Problem Solving Skills,Leadership and Ethics,Quantitative Aptitude,Logical Reasoning,Public Speaking,Marketing Skills,Human Resource Management,Legal Knowledge,Design Thinking,Creative Writing,Healthcare Procedures,Financial Accounting,Education Pedagogy,Training & Development,Hospitality Management,Nutrition & Dietetics,Media Production,Role
Average,Beginner,Poor,Intermediate,Intermediate,Average,Beginner,Intermediate,Professional,Intermediate,Beginner,Poor,Poor,Beginner,Beginner,Beginner,Poor,Professional,Chartered Accountant
Intermediate,Average,Poor,Beginner,Beginner,Beginner,Professional,Beginner,Average,Poor,Intermediate,Average,Average,Average,Average,Intermediate,Beginner,Average,Chartered Accountant
Professional,Professional,Professional,Beginner,Intermediate,Poor,Poor,Intermediate,Average,Poor,Poor,Poor,Intermediate,Poor,Beginner,Beginner,Beginner,Intermediate,Chartered Accountant
Beginner,Poor,Professional,Average,Poor,Average,Average,Professional,Beginner,Average,Poor,Beginner,Poor,Intermediate,Professional,Average,Average,Average,Chartered Accountant
Poor,Beginner,Professional,Poor,Intermediate,Beginner,Average,Beginner,Beginner,Beginner,Professional,Average,Poor,Professional,Intermediate,Poor,Intermediate,Poor,Chartered Accountant
Intermediate,Average,Average,Beginner,Beginner,Beginner,Intermediate,Professional,Professional,Intermediate,Average,Intermediate,Poor,Average,Beginner,Poor,Poor,Beginner,Chartered Accountant
Poor,Intermediate,Beginner,Poor,Average,Poor,Beginner,Professional,Poor,Average,Professional,Average,Intermediate,Average,Professional,Intermediate,Beginner,Beginner,Chartered Accountant
Professional,Poor,Poor,Intermediate,Beginner,Average,Beginner,Professional,Professional,Beginner,Average,Professional,Beginner,Intermediate,Professional,Professional,Professional,Poor,Chartered Accountant
Intermediate,Average,Intermediate,Professional,Average,Intermediate,Professional,Poor,Poor,Intermediate,Average,Professional,Intermediate,Professional,Intermediate,Average,Average,Average,Chartered Accountant
Beginner,Professional,Poor,Beginner,Professional,Average,Intermediate,Intermediate,Average,Intermediate,Professional,Professional,Intermediate,Professional,Beginner,Professional,Poor,Beginner,Chartered Accountant
Intermediate,Poor,Beginner,Professional,Intermediate,Beginner,Professional,Poor,Beginner,Intermediate,Beginner,Average,Average,Average,Average,Professional,Poor,Poor,Chartered Accountant
Intermediate,Beginner,Poor,Poor,Intermediate,Intermediate,Average,Poor,Poor,Professional,Average,Beginner,Average,Average,Professional,Average,Poor,Poor,Chartered Accountant
Poor,Beginner,Beginner,Poor,Beginner,Poor,Professional,Poor,Beginner,Average,Average,Poor,Poor,Beginner,Professional,Beginner,Professional,Professional,Chartered Accountant
Poor,Professional,Beginner,Average,Average,Average,Intermediate,Beginner,Average,Intermediate,Poor,Beginner,Intermediate,Intermediate,Beginner,Poor,Intermediate,Average,Chartered Accountant
Poor,Intermediate,Beginner,Professional,Poor,Average,Average,Intermediate,Average,Average,Average,Professional,Beginner,Average,Average,Average,Poor,Intermediate,Chartered Accountant
Intermediate,Poor,Poor,Beginner,Beginner,Average,Poor,Professional,Poor,Professional,Professional,Poor,Beginner,Beginner,Professional,Poor,Average,Average,Chartered Accountant
Intermediate,Professional,Intermediate,Professional,Average,Beginner,Average,Intermediate,Average,Poor,Average,Intermediate,Beginner,Poor,Beginner,Intermediate,Beginner,Professional,Chartered Accountant
Beginner,Poor,Average,Professional,Beginner,Poor,Average,Average,Professional,Professional,Poor,Professional,Professional,Intermediate,Beginner,Intermediate,Poor,Intermediate,Chartered Accountant
Poor,Poor,Beginner,Professional,Average,Beginner,Average,Beginner,Average,Professional,Intermediate,Average,Professional,Poor,Intermediate,Professional,Intermediate,Poor,Chartered Accountant
Poor,Professional,Average,Beginner,Beginner,Beginner,Average,Professional,Poor,Beginner,Beginner,Professional,Average,Average,Beginner,Beginner,Intermediate,Beginner,Chartered Accountant
Poor,Beginner,Poor,Beginner,Professional,Professional,Professional,Poor,Poor,Professional,Intermediate,Average,Average,Beginner,Professional,Intermediate,Average,Poor,Chartered Accountant
Beginner,Professional,Average,Average,Beginner,Poor,Poor,Average,Intermediate,Intermediate,Beginner,Professional,Beginner,Beginner,Poor,Poor,Average,Beginner,Chartered Accountant
Average,Poor,Intermediate,Poor,Poor,Beginner,Average,Average,Intermediate,Intermediate,Professional,Beginner,Poor,Average,Poor,Average,Beginner,Poor,Chartered Accountant
Professional,Poor,Professional,Average,Average,Intermediate,Poor,Average,Poor,Poor,Beginner,Poor,Intermediate,Intermediate,Poor,Average,Beginner,Professional,Chartered Accountant
Professional,Beginner,Poor,Intermediate,Average,Average,Intermediate,Professional,Poor,Average,Poor,Beginner,Average,Professional,Beginner,Average,Professional,Poor,Chartered Accountant
Professional,Poor,Professional,Poor,Average,Poor,Poor,Professional,Intermediate,Beginner,Professional,Professional,Beginner,Poor,Professional,Intermediate,Average,Average,Chartered Accountant
Intermediate,Poor,Beginner,Intermediate,Poor,Poor,Professional,Professional,Beginner,Average,Professional,Intermediate,Beginner,Average,Average,Poor,Beginner,Poor,Chartered Accountant
Intermediate,Professional,Poor,Intermediate,Average,Intermediate,Poor,Average,Intermediate,Beginner,Beginner,Poor,Beginner,Professional,Professional,Intermediate,Poor,Professional,Chartered Accountant
Average,Professional,Poor,Poor,Poor,Beginner,Professional,Poor,Intermediate,Intermediate,Average,Average,Intermediate,Average,Average,Beginner,Beginner,Beginner,Chartered Accountant
Professional,Beginner,Beginner,Beginner,Average,Intermediate,Intermediate,Professional,Professional,Average,Average,Professional,Poor,Average,Poor,Beginner,Poor,Professional,Chartered Accountant
Professional,Average,Average,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Poor,Poor,Beginner,Beginner,Professional,Beginner,Professional,Beginner,Intermediate,Beginner,Chartered Accountant
Poor,Average,Average,Intermediate,Average,Intermediate,Poor,Beginner,Professional,Beginner,Intermediate,Poor,Professional,Average,Beginner,Average,Professional,Professional,Chartered Accountant
Professional,Poor,Professional,Intermediate,Beginner,Beginner,Professional,Poor,Poor,Professional,Professional,Poor,Average,Intermediate,Professional,Intermediate,Professional,Average,Chartered Accountant
Intermediate,Average,Poor,Beginner,Beginner,Intermediate,Poor,Average,Intermediate,Intermediate,Beginner,Beginner,Poor,Poor,Average,Average,Poor,Beginner,Chartered Accountant
Beginner,Intermediate,Professional,Beginner,Intermediate,Average,Intermediate,Professional,Average,Professional,Poor,Intermediate,Average,Poor,Average,Professional,Professional,Intermediate,Chartered Accountant
Professional,Beginner,Poor,Average,Intermediate,Average,Intermediate,Average,Beginner,Beginner,Professional,Intermediate,Beginner,Professional,Beginner,Intermediate,Professional,Average,Chartered Accountant
Professional,Poor,Intermediate,Intermediate,Intermediate,Professional,Beginner,Poor,Average,Beginner,Intermediate,Professional,Professional,Intermediate,Average,Poor,Average,Poor,Chartered Accountant
Beginner,Professional,Average,Beginner,Intermediate,Beginner,Beginner,Poor,Beginner,Intermediate,Average,Beginner,Beginner,Beginner,Poor,Intermediate,Average,Professional,Chartered Accountant
Beginner,Beginner,Beginner,Intermediate,Beginner,Poor,Average,Professional,Beginner,Poor,Poor,Professional,Poor,Intermediate,Beginner,Professional,Poor,Beginner,Chartered Accountant
Intermediate,Intermediate,Average,Beginner,Professional,Professional,Poor,Average,Intermediate,Professional,Beginner,Poor,Beginner,Intermediate,Average,Professional,Intermediate,Average,Chartered Accountant
Beginner,Intermediate,Beginner,Intermediate,Beginner,Beginner,Poor,Poor,Professional,Intermediate,Professional,Intermediate,Professional,Average,Intermediate,Intermediate,Intermediate,Intermediate,Chartered Accountant
Average,Poor,Average,Professional,Beginner,Professional,Average,Average,Average,Professional,Professional,Intermediate,Average,Professional,Poor,Professional,Intermediate,Beginner,Chartered Accountant
Average,Poor,Intermediate,Average,Poor,Average,Professional,Poor,Average,Beginner,Beginner,Average,Poor,Professional,Professional,Intermediate,Intermediate,Intermediate,Chartered Accountant
Professional,Average,Poor,Intermediate,Average,Average,Professional,Beginner,Intermediate,Poor,Poor,Beginner,Average,Average,Poor,Average,Average,Average,Chartered Accountant
Intermediate,Intermediate,Intermediate,Average,Poor,Poor,Beginner,Intermediate,Beginner,Intermediate,Poor,Intermediate,Professional,Beginner,Intermediate,Professional,Intermediate,Poor,Chartered Accountant
Professional,Poor,Beginner,Professional,Intermediate,Professional,Average,Average,Professional,Beginner,Professional,Beginner,Professional,Poor,Average,Beginner,Poor,Beginner,Chartered Accountant
Professional,Professional,Poor,Average,Poor,Beginner,Beginner,Poor,Professional,Intermediate,Professional,Intermediate,Average,Poor,Poor,Poor,Poor,Beginner,Chartered Accountant
Beginner,Average,Poor,Professional,Intermediate,Poor,Intermediate,Beginner,Professional,Intermediate,Average,Professional,Intermediate,Professional,Beginner,Poor,Average,Intermediate,Chartered Accountant
Beginner,Intermediate,Professional,Poor,Intermediate,Poor,Poor,Poor,Professional,Poor,Intermediate,Poor,Average,Poor,Average,Beginner,Beginner,Beginner,Chartered Accountant
Intermediate,Professional,Poor,Beginner,Beginner,Poor,Average,Beginner,Intermediate,Average,Poor,Poor,Beginner,Beginner,Professional,Beginner,Professional,Poor,Chartered Accountant
Average,Professional,Average,Average,Professional,Poor,Poor,Professional,Average,Poor,Intermediate,Professional,Professional,Beginner,Average,Intermediate,Poor,Average,Chartered Accountant
Intermediate,Intermediate,Beginner,Professional,Average,Beginner,Professional,Beginner,Poor,Professional,Poor,Intermediate,Beginner,Beginner,Poor,Beginner,Poor,Poor,Chartered Accountant
Intermediate,Poor,Average,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Average,Professional,Professional,Intermediate,Intermediate,Professional,Professional,Poor,Poor,Chartered Accountant
Beginner,Poor,Intermediate,Poor,Poor,Beginner,Professional,Poor,Beginner,Intermediate,Average,Professional,Intermediate,Beginner,Average,Professional,Professional,Poor,Chartered Accountant
Professional,Poor,Poor,Beginner,Professional,Professional,Intermediate,Professional,Intermediate,Intermediate,Beginner,Beginner,Average,Intermediate,Beginner,Average,Beginner,Beginner,Chartered Accountant
Professional,Average,Intermediate,Professional,Intermediate,Beginner,Professional,Intermediate,Poor,Poor,Intermediate,Intermediate,Average,Beginner,Intermediate,Professional,Professional,Beginner,Chartered Accountant
Average,Poor,Professional,Average,Professional,Intermediate,Poor,Poor,Professional,Intermediate,Average,Beginner,Professional,Beginner,Intermediate,Intermediate,Professional,Intermediate,Chartered Accountant
Professional,Average,Average,Professional,Beginner,Poor,Poor,Professional,Intermediate,Poor,Professional,Intermediate,Average,Average,Professional,Intermediate,Beginner,Average,Chartered Accountant
Average,Professional,Beginner,Professional,Professional,Average,Beginner,Average,Average,Beginner,Poor,Beginner,Intermediate,Average,Average,Poor,Average,Poor,Chartered Accountant
Intermediate,Poor,Average,Professional,Professional,Poor,Beginner,Average,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Professional,Poor,Average,Intermediate,Average,Chartered Accountant
Professional,Beginner,Beginner,Professional,Intermediate,Poor,Beginner,Poor,Beginner,Average,Intermediate,Beginner,Professional,Intermediate,Intermediate,Average,Beginner,Intermediate,Chartered Accountant
Poor,Beginner,Professional,Average,Intermediate,Intermediate,Intermediate,Intermediate,Average,Beginner,Poor,Average,Beginner,Beginner,Professional,Poor,Professional,Intermediate,Chartered Accountant
Poor,Professional,Poor,Intermediate,Poor,Average,Average,Average,Intermediate,Poor,Intermediate,Poor,Average,Average,Poor,Intermediate,Beginner,Average,Chartered Accountant
Poor,Average,Intermediate,Poor,Beginner,Average,Beginner,Beginner,Intermediate,Professional,Poor,Poor,Poor,Professional,Professional,Average,Professional,Intermediate,Chartered Accountant
Average,Poor,Professional,Average,Professional,Beginner,Intermediate,Poor,Intermediate,Intermediate,Beginner,Poor,Poor,Average,Beginner,Beginner,Average,Beginner,Chartered Accountant
Beginner,Beginner,Average,Intermediate,Beginner,Intermediate,Professional,Poor,Professional,Poor,Intermediate,Intermediate,Professional,Poor,Poor,Average,Professional,Poor,Chartered Accountant
Professional,Beginner,Poor,Poor,Average,Professional,Average,Poor,Professional,Professional,Professional,Professional,Professional,Average,Average,Poor,Average,Poor,Chartered Accountant
Average,Average,Poor,Professional,Poor,Intermediate,Beginner,Beginner,Poor,Poor,Professional,Professional,Professional,Beginner,Intermediate,Average,Average,Beginner,Chartered Accountant
Professional,Beginner,Beginner,Intermediate,Average,Professional,Beginner,Poor,Professional,Poor,Average,Beginner,Average,Beginner,Professional,Professional,Poor,Professional,Chartered Accountant
Average,Professional,Professional,Beginner,Professional,Beginner,Professional,Beginner,Beginner,Poor,Poor,Beginner,Beginner,Professional,Poor,Average,Poor,Average,Chartered Accountant
Poor,Beginner,Intermediate,Poor,Average,Poor,Intermediate,Intermediate,Intermediate,Poor,Poor,Average,Poor,Professional,Average,Average,Professional,Beginner,Chartered Accountant
Beginner,Poor,Beginner,Professional,Professional,Beginner,Intermediate,Intermediate,Poor,Professional,Average,Average,Professional,Intermediate,Poor,Intermediate,Average,Average,Chartered Accountant
Poor,Poor,Average,Average,Average,Beginner,Beginner,Poor,Professional,Average,Average,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Average,Chartered Accountant
Average,Intermediate,Average,Beginner,Average,Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Intermediate,Poor,Intermediate,Intermediate,Beginner,Poor,Poor,Chartered Accountant
Intermediate,Beginner,Intermediate,Average,Professional,Poor,Beginner,Average,Professional,Professional,Beginner,Intermediate,Intermediate,Beginner,Poor,Poor,Professional,Professional,Chartered Accountant
Poor,Intermediate,Professional,Professional,Professional,Professional,Intermediate,Intermediate,Professional,Beginner,Professional,Professional,Average,Intermediate,Intermediate,Average,Intermediate,Average,Chartered Accountant
Average,Average,Intermediate,Poor,Poor,Beginner,Intermediate,Beginner,Intermediate,Poor,Poor,Beginner,Intermediate,Average,Intermediate,Beginner,Poor,Professional,Chartered Accountant
Intermediate,Intermediate,Average,Intermediate,Intermediate,Average,Poor,Average,Poor,Intermediate,Intermediate,Average,Beginner,Average,Beginner,Intermediate,Poor,Professional,Chartered Accountant
Poor,Intermediate,Intermediate,Poor,Professional,Average,Beginner,Poor,Average,Intermediate,Beginner,Average,Beginner,Professional,Beginner,Intermediate,Intermediate,Beginner,Chartered Accountant
Average,Intermediate,Poor,Intermediate,Poor,Intermediate,Average,Beginner,Average,Professional,Average,Poor,Beginner,Intermediate,Average,Average,Beginner,Beginner,Chartered Accountant
Average,Professional,Average,Intermediate,Average,Poor,Beginner,Intermediate,Professional,Poor,Intermediate,Beginner,Beginner,Professional,Poor,Professional,Average,Poor,Chartered Accountant
Beginner,Intermediate,Professional,Average,Beginner,Professional,Intermediate,Poor,Beginner,Average,Intermediate,Poor,Poor,Intermediate,Beginner,Average,Average,Average,Chartered Accountant
Average,Beginner,Intermediate,Average,Professional,Intermediate,Professional,Professional,Professional,Poor,Beginner,Poor,Beginner,Professional,Poor,Professional,Average,Average,Chartered Accountant
Poor,Average,Average,Professional,Beginner,Intermediate,Intermediate,Professional,Professional,Poor,Average,Intermediate,Beginner,Professional,Average,Average,Intermediate,Average,Chartered Accountant
Intermediate,Average,Average,Poor,Professional,Beginner,Poor,Beginner,Intermediate,Poor,Beginner,Professional,Poor,Intermediate,Poor,Poor,Professional,Beginner,Chartered Accountant
Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Beginner,Intermediate,Average,Average,Average,Poor,Beginner,Average,Beginner,Intermediate,Chartered Accountant
Average,Intermediate,Average,Professional,Beginner,Poor,Professional,Average,Beginner,Beginner,Intermediate,Intermediate,Poor,Beginner,Average,Average,Professional,Average,Chartered Accountant
Intermediate,Intermediate,Average,Intermediate,Professional,Professional,Average,Professional,Intermediate,Poor,Poor,Professional,Beginner,Intermediate,Intermediate,Poor,Average,Beginner,Chartered Accountant
Beginner,Professional,Intermediate,Average,Professional,Poor,Average,Average,Average,Beginner,Intermediate,Intermediate,Beginner,Intermediate,Average,Average,Professional,Average,Chartered Accountant
Beginner,Beginner,Poor,Average,Intermediate,Poor,Average,Professional,Professional,Poor,Professional,Average,Poor,Poor,Intermediate,Poor,Poor,Intermediate,Chartered Accountant
Average,Professional,Professional,Intermediate,Beginner,Intermediate,Professional,Intermediate,Average,Professional,Intermediate,Beginner,Poor,Intermediate,Professional,Beginner,Poor,Beginner,Chartered Accountant
Professional,Intermediate,Average,Intermediate,Intermediate,Beginner,Professional,Average,Professional,Poor,Intermediate,Intermediate,Professional,Professional,Professional,Beginner,Poor,Beginner,Chartered Accountant
Professional,Average,Beginner,Professional,Intermediate,Poor,Professional,Intermediate,Beginner,Average,Professional,Intermediate,Average,Intermediate,Beginner,Intermediate,Beginner,Beginner,Chartered Accountant
Beginner,Professional,Professional,Professional,Beginner,Poor,Intermediate,Beginner,Professional,Beginner,Poor,Intermediate,Professional,Professional,Beginner,Professional,Intermediate,Professional,Chartered Accountant
Poor,Beginner,Professional,Beginner,Professional,Intermediate,Intermediate,Average,Poor,Average,Poor,Poor,Poor,Beginner,Average,Beginner,Beginner,Average,Chartered Accountant
Intermediate,Professional,Poor,Average,Beginner,Intermediate,Poor,Poor,Beginner,Poor,Beginner,Beginner,Professional,Professional,Poor,Beginner,Average,Intermediate,Chartered Accountant
Professional,Intermediate,Intermediate,Average,Average,Poor,Beginner,Poor,Average,Beginner,Intermediate,Average,Poor,Beginner,Average,Professional,Beginner,Intermediate,Chartered Accountant
Poor,Professional,Professional,Professional,Professional,Average,Intermediate,Professional,Professional,Professional,Beginner,Poor,Average,Poor,Intermediate,Poor,Intermediate,Beginner,Chartered Accountant
Average,Poor,Beginner,Poor,Beginner,Professional,Beginner,Beginner,Beginner,Poor,Poor,Beginner,Poor,Poor,Beginner,Professional,Intermediate,Professional,Chartered Accountant
Poor,Average,Intermediate,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Intermediate,Poor,Beginner,Average,Average,Poor,Beginner,Average,Chartered Accountant
Beginner,Beginner,Intermediate,Professional,Beginner,Intermediate,Beginner,Average,Professional,Average,Professional,Intermediate,Professional,Intermediate,Professional,Beginner,Professional,Beginner,Chartered Accountant
Intermediate,Poor,Average,Intermediate,Professional,Beginner,Poor,Intermediate,Professional,Average,Beginner,Intermediate,Average,Poor,Average,Beginner,Beginner,Beginner,Chartered Accountant
Professional,Average,Professional,Intermediate,Average,Average,Intermediate,Intermediate,Intermediate,Professional,Beginner,Beginner,Professional,Average,Average,Intermediate,Beginner,Intermediate,Chartered Accountant
Poor,Intermediate,Average,Beginner,Intermediate,Poor,Intermediate,Poor,Average,Average,Intermediate,Poor,Poor,Average,Average,Poor,Professional,Average,Chartered Accountant
Professional,Intermediate,Intermediate,Average,Professional,Poor,Professional,Beginner,Average,Beginner,Intermediate,Professional,Poor,Professional,Intermediate,Poor,Beginner,Intermediate,Chartered Accountant
Poor,Average,Average,Average,Average,Average,Poor,Poor,Beginner,Poor,Intermediate,Beginner,Intermediate,Average,Professional,Average,Poor,Intermediate,Chartered Accountant
Poor,Intermediate,Beginner,Professional,Professional,Intermediate,Poor,Professional,Beginner,Intermediate,Beginner,Beginner,Poor,Intermediate,Professional,Average,Poor,Professional,Chartered Accountant
Average,Poor,Poor,Professional,Poor,Professional,Intermediate,Intermediate,Beginner,Average,Professional,Beginner,Poor,Poor,Beginner,Average,Professional,Beginner,Chartered Accountant
Professional,Professional,Beginner,Average,Intermediate,Poor,Professional,Intermediate,Poor,Beginner,Beginner,Professional,Average,Professional,Average,Poor,Professional,Beginner,Chartered Accountant
Average,Average,Poor,Professional,Intermediate,Poor,Intermediate,Professional,Professional,Professional,Intermediate,Intermediate,Intermediate,Beginner,Average,Intermediate,Beginner,Average,Chartered Accountant
Beginner,Average,Intermediate,Intermediate,Intermediate,Average,Intermediate,Poor,Intermediate,Average,Poor,Beginner,Beginner,Beginner,Average,Professional,Poor,Intermediate,Chartered Accountant
Poor,Beginner,Professional,Poor,Poor,Beginner,Professional,Poor,Beginner,Intermediate,Intermediate,Professional,Intermediate,Average,Intermediate,Intermediate,Average,Intermediate,Chartered Accountant
Intermediate,Average,Average,Intermediate,Beginner,Professional,Average,Beginner,Poor,Poor,Intermediate,Beginner,Average,Poor,Beginner,Professional,Beginner,Professional,Chartered Accountant
Beginner,Beginner,Poor,Poor,Average,Professional,Professional,Poor,Beginner,Beginner,Professional,Poor,Professional,Beginner,Poor,Average,Average,Intermediate,Chartered Accountant
Poor,Poor,Beginner,Professional,Poor,Average,Average,Average,Beginner,Beginner,Average,Beginner,Intermediate,Average,Beginner,Professional,Intermediate,Poor,Chartered Accountant
Poor,Average,Poor,Professional,Average,Professional,Intermediate,Intermediate,Intermediate,Poor,Poor,Beginner,Intermediate,Beginner,Poor,Intermediate,Professional,Intermediate,Chartered Accountant
Intermediate,Average,Intermediate,Poor,Poor,Average,Intermediate,Professional,Beginner,Professional,Poor,Professional,Average,Intermediate,Beginner,Professional,Intermediate,Intermediate,Chartered Accountant
Average,Intermediate,Beginner,Poor,Beginner,Poor,Average,Average,Professional,Professional,Beginner,Poor,Intermediate,Average,Beginner,Intermediate,Poor,Professional,Chartered Accountant
Professional,Average,Average,Beginner,Intermediate,Professional,Poor,Average,Beginner,Poor,Beginner,Average,Poor,Poor,Professional,Poor,Intermediate,Poor,Chartered Accountant
Average,Intermediate,Average,Beginner,Poor,Intermediate,Professional,Average,Average,Average,Poor,Average,Professional,Poor,Beginner,Intermediate,Intermediate,Average,Chartered Accountant
Intermediate,Poor,Professional,Beginner,Poor,Professional,Poor,Intermediate,Beginner,Beginner,Average,Beginner,Beginner,Poor,Intermediate,Intermediate,Intermediate,Professional,Chartered Accountant
Beginner,Average,Poor,Average,Beginner,Beginner,Average,Professional,Professional,Beginner,Professional,Poor,Average,Beginner,Poor,Intermediate,Professional,Beginner,Chartered Accountant
Professional,Beginner,Average,Professional,Beginner,Poor,Professional,Intermediate,Average,Average,Average,Professional,Average,Professional,Professional,Beginner,Beginner,Intermediate,Chartered Accountant
Beginner,Poor,Professional,Beginner,Average,Average,Intermediate,Intermediate,Poor,Beginner,Intermediate,Poor,Professional,Beginner,Average,Poor,Poor,Beginner,Chartered Accountant
Beginner,Professional,Poor,Professional,Beginner,Beginner,Average,Poor,Professional,Beginner,Beginner,Average,Poor,Intermediate,Beginner,Average,Professional,Average,Chartered Accountant
Average,Beginner,Intermediate,Intermediate,Beginner,Average,Professional,Intermediate,Average,Intermediate,Professional,Intermediate,Beginner,Average,Professional,Poor,Professional,Intermediate,Chartered Accountant
Poor,Average,Poor,Professional,Poor,Professional,Intermediate,Average,Professional,Average,Beginner,Beginner,Professional,Average,Average,Average,Average,Poor,Chartered Accountant
Intermediate,Poor,Average,Intermediate,Average,Intermediate,Poor,Beginner,Intermediate,Beginner,Average,Average,Intermediate,Beginner,Professional,Professional,Beginner,Poor,Chartered Accountant
Professional,Professional,Poor,Professional,Poor,Poor,Beginner,Beginner,Poor,Intermediate,Professional,Beginner,Poor,Professional,Professional,Professional,Intermediate,Poor,Chartered Accountant
Intermediate,Average,Intermediate,Beginner,Average,Professional,Professional,Poor,Professional,Average,Beginner,Average,Professional,Professional,Professional,Average,Beginner,Intermediate,Chartered Accountant
Beginner,Beginner,Poor,Intermediate,Intermediate,Poor,Beginner,Average,Professional,Intermediate,Intermediate,Intermediate,Professional,Poor,Professional,Beginner,Professional,Poor,Chartered Accountant
Intermediate,Beginner,Beginner,Professional,Beginner,Average,Professional,Poor,Intermediate,Poor,Poor,Average,Beginner,Intermediate,Average,Professional,Poor,Intermediate,Chartered Accountant
Poor,Intermediate,Average,Poor,Beginner,Beginner,Average,Intermediate,Professional,Beginner,Poor,Beginner,Intermediate,Beginner,Intermediate,Beginner,Professional,Intermediate,Chartered Accountant
Professional,Professional,Beginner,Beginner,Intermediate,Professional,Beginner,Intermediate,Professional,Professional,Average,Professional,Intermediate,Poor,Intermediate,Intermediate,Beginner,Intermediate,Chartered Accountant
Beginner,Poor,Poor,Beginner,Poor,Poor,Beginner,Professional,Intermediate,Poor,Average,Intermediate,Intermediate,Beginner,Professional,Poor,Average,Average,Chartered Accountant
Professional,Average,Intermediate,Poor,Average,Average,Professional,Poor,Intermediate,Intermediate,Poor,Poor,Professional,Average,Poor,Poor,Professional,Beginner,Chartered Accountant
Intermediate,Beginner,Professional,Intermediate,Beginner,Beginner,Professional,Poor,Professional,Poor,Intermediate,Intermediate,Professional,Intermediate,Beginner,Beginner,Professional,Poor,Chartered Accountant
Beginner,Professional,Beginner,Professional,Average,Beginner,Beginner,Beginner,Average,Intermediate,Beginner,Intermediate,Poor,Intermediate,Intermediate,Poor,Beginner,Average,Chartered Accountant
Intermediate,Professional,Intermediate,Poor,Intermediate,Average,Average,Poor,Intermediate,Beginner,Intermediate,Professional,Intermediate,Average,Average,Poor,Intermediate,Average,Chartered Accountant
Professional,Beginner,Average,Poor,Professional,Poor,Average,Beginner,Intermediate,Poor,Poor,Beginner,Poor,Average,Beginner,Intermediate,Intermediate,Intermediate,Chartered Accountant
Average,Professional,Beginner,Beginner,Average,Beginner,Average,Professional,Beginner,Intermediate,Average,Average,Beginner,Beginner,Poor,Professional,Average,Poor,Chartered Accountant
Professional,Average,Poor,Poor,Average,Poor,Beginner,Professional,Beginner,Poor,Professional,Professional,Poor,Average,Intermediate,Average,Beginner,Professional,Chartered Accountant
Professional,Average,Poor,Professional,Average,Average,Beginner,Professional,Average,Professional,Professional,Professional,Professional,Average,Beginner,Beginner,Professional,Beginner,Chartered Accountant
Intermediate,Intermediate,Beginner,Poor,Intermediate,Beginner,Intermediate,Professional,Intermediate,Professional,Poor,Poor,Poor,Poor,Beginner,Beginner,Poor,Professional,Chartered Accountant
Beginner,Professional,Average,Intermediate,Poor,Professional,Average,Intermediate,Poor,Intermediate,Intermediate,Professional,Average,Beginner,Beginner,Beginner,Average,Average,Chartered Accountant
Poor,Beginner,Poor,Poor,Average,Intermediate,Average,Beginner,Professional,Poor,Poor,Average,Average,Poor,Average,Intermediate,Average,Beginner,Chartered Accountant
Poor,Poor,Average,Beginner,Intermediate,Average,Average,Beginner,Intermediate,Average,Intermediate,Beginner,Intermediate,Average,Beginner,Intermediate,Average,Average,Chartered Accountant
Poor,Professional,Poor,Poor,Professional,Beginner,Average,Professional,Poor,Professional,Average,Poor,Poor,Beginner,Poor,Average,Average,Intermediate,Chartered Accountant
Beginner,Professional,Average,Professional,Beginner,Professional,Intermediate,Beginner,Poor,Beginner,Poor,Beginner,Beginner,Average,Beginner,Average,Beginner,Professional,Chartered Accountant
Poor,Professional,Average,Beginner,Average,Intermediate,Average,Professional,Average,Beginner,Professional,Beginner,Intermediate,Beginner,Average,Average,Intermediate,Intermediate,Chartered Accountant
Intermediate,Average,Poor,Poor,Beginner,Poor,Intermediate,Poor,Professional,Professional,Poor,Intermediate,Intermediate,Professional,Average,Poor,Poor,Poor,Chartered Accountant
Poor,Professional,Intermediate,Beginner,Professional,Average,Poor,Intermediate,Beginner,Professional,Beginner,Average,Poor,Professional,Professional,Beginner,Intermediate,Professional,Chartered Accountant
Beginner,Professional,Intermediate,Poor,Beginner,Poor,Average,Beginner,Intermediate,Intermediate,Intermediate,Average,Beginner,Poor,Beginner,Intermediate,Average,Beginner,Chartered Accountant
Beginner,Beginner,Average,Average,Poor,Professional,Beginner,Beginner,Professional,Intermediate,Professional,Beginner,Beginner,Beginner,Professional,Beginner,Intermediate,Intermediate,Chartered Accountant
Beginner,Beginner,Professional,Professional,Professional,Intermediate,Intermediate,Professional,Beginner,Intermediate,Average,Beginner,Professional,Intermediate,Average,Intermediate,Professional,Average,Chartered Accountant
Beginner,Average,Poor,Poor,Beginner,Beginner,Average,Average,Average,Beginner,Professional,Average,Intermediate,Average,Poor,Professional,Beginner,Average,Chartered Accountant
Intermediate,Average,Poor,Intermediate,Professional,Professional,Average,Poor,Average,Beginner,Average,Average,Intermediate,Average,Poor,Average,Beginner,Beginner,Chartered Accountant
